counter,value
rx_packets,8148383
tx_packets,1932578
rx_bytes,579808110
tx_bytes,99666820
rx_broadcast,5690932
tx_broadcast,7869
rx_multicast,41745
tx_multicast,2987
multicast,42697
collisions,0
rx_crc_errors,0
rx_no_buffer_count,0
rx_missed_errors,0
tx_aborted_errors,0
tx_carrier_errors,0
tx_window_errors,0
tx_abort_late_coll,0
tx_deferred_ok,0
tx_single_coll_ok,0
tx_multi_coll_ok,0
tx_timeout_count,0
rx_long_length_errors,0
rx_short_length_errors,0
rx_align_errors,0
tx_tcp_seg_good,0
tx_tcp_seg_failed,0
rx_flow_control_xon,0
rx_flow_control_xoff,0
tx_flow_control_xon,0
tx_flow_control_xoff,0
rx_long_byte_count,579808110
tx_dma_out_of_sync,0
tx_smbus,0
rx_smbus,0
dropped_smbus,0
os2bmc_rx_by_bmc,0
os2bmc_tx_by_bmc,0
os2bmc_tx_by_host,0
os2bmc_rx_by_host,0
tx_hwtstamp_timeouts,0
tx_hwtstamp_skipped,0
rx_hwtstamp_cleared,0
rx_errors,0
tx_errors,0
tx_dropped,0
rx_length_errors,0
rx_over_errors,0
rx_frame_errors,0
rx_fifo_errors,0
tx_fifo_errors,0
tx_heartbeat_errors,0
tx_queue_0_packets,185234
tx_queue_0_bytes,10123456
tx_queue_0_restart,0
tx_queue_1_packets,182890
tx_queue_1_bytes,9987654
tx_queue_1_restart,0
tx_queue_2_packets,179012
tx_queue_2_bytes,11234567
tx_queue_2_restart,0
tx_queue_3_packets,181234
tx_queue_3_bytes,9456789
tx_queue_3_restart,0
tx_queue_4_packets,641890
tx_queue_4_bytes,28123456
tx_queue_4_restart,0
tx_queue_5_packets,178901
tx_queue_5_bytes,9876543
tx_queue_5_restart,0
tx_queue_6_packets,184567
tx_queue_6_bytes,10567890
tx_queue_6_restart,0
tx_queue_7_packets,179847
tx_queue_7_bytes,9786543
tx_queue_7_restart,0
rx_queue_0_packets,6234567
rx_queue_0_bytes,398765432
rx_queue_0_drops,0
rx_queue_0_csum_err,0
rx_queue_0_alloc_failed,0
rx_queue_1_packets,189012
rx_queue_1_bytes,15234567
rx_queue_1_drops,0
rx_queue_1_csum_err,0
rx_queue_1_alloc_failed,0
rx_queue_2_packets,234567
rx_queue_2_bytes,28901234
rx_queue_2_drops,0
rx_queue_2_csum_err,0
rx_queue_2_alloc_failed,0
rx_queue_3_packets,178901
rx_queue_3_bytes,14567890
rx_queue_3_drops,0
rx_queue_3_csum_err,0
rx_queue_3_alloc_failed,0
rx_queue_4_packets,195432
rx_queue_4_bytes,16789012
rx_queue_4_drops,0
rx_queue_4_csum_err,0
rx_queue_4_alloc_failed,0
rx_queue_5_packets,278901
rx_queue_5_bytes,49876543
rx_queue_5_drops,0
rx_queue_5_csum_err,0
rx_queue_5_alloc_failed,0
rx_queue_6_packets,181234
rx_queue_6_bytes,13890123
rx_queue_6_drops,0
rx_queue_6_csum_err,0
rx_queue_6_alloc_failed,0
rx_queue_7_packets,169012
rx_queue_7_bytes,14567890
rx_queue_7_drops,0
rx_queue_7_csum_err,0
rx_queue_7_alloc_failed,0
